Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Amoxicillin 379,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Metformin 379,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 379,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 380,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 380,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 380,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 380,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 380,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Paracetamol 381,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 381,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 381,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 381,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 381,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 382,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 382,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 382,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Metformin 382,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Atorvastatin 382,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Paracetamol 383,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 383,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Amoxicillin 383,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 383,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 383,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 384,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 384,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 384,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 384,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 384,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 385,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 385,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Amoxicillin 385,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 385,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 385,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 386,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 386,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 386,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Metformin 386,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Atorvastatin 386,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Paracetamol 387,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 387,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 387,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 387,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 387,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Paracetamol 388,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 388,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 388,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 388,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 388,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 389,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Ibuprofen 389,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 389,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 389,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 389,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Paracetamol 390,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 390,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 390,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Metformin 390,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 390,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Paracetamol 391,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 391,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 391,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 391,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 391,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 392,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 392,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 392,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 392,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 392,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Paracetamol 393,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 393,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Amoxicillin 393,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 393,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 393,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 394,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 394,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 394,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 394,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 394,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 395,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Ibuprofen 395,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 395,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 395,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Atorvastatin 395,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 396,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 396,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Amoxicillin 396,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Metformin 396,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 396,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 397,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 397,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 397,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 397,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 397,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 398,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
